AmazonOrderId,PurchaseDate,LastUpdateDate,OrderStatus,FulfillmentChannel,SalesChannel,ShipServiceLevel,OrderTotal_CurrencyCode,OrderTotal_Amount,NumberOfItemsShipped,NumberOfItemsUnshipped,PaymentMethod,MarketplaceId,ShipmentServiceLevelCategory,OrderType,EarliestShipDate,LatestShipDate,BuyerEmail,BuyerName,ShippingAddress_Name,ShippingAddress_AddressLine1,ShippingAddress_City,ShippingAddress_StateOrRegion,ShippingAddress_PostalCode,ShippingAddress_CountryCode,IsPrime,IsBusinessOrder,IsSoldByAB
114-3941689-8772200,2026-02-05T10:22:00Z,2026-02-08T14:30:00Z,Shipped,AFN,Amazon.com,Standard,USD,19.99,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-02-05T12:00:00Z,2026-02-07T23:59:59Z,buyer1@email.com,Sarah Mitchell,Sarah Mitchell,742 Elm Street,Portland,OR,97201,US,true,false,false
114-5578234-9921100,2026-02-08T15:45:00Z,2026-02-12T09:00:00Z,Shipped,AFN,Amazon.com,Expedited,USD,49.99,1,0,Other,ATVPDKIKX0DER,Expedited,StandardOrder,2026-02-08T16:00:00Z,2026-02-09T23:59:59Z,buyer2@email.com,James Chen,James Chen,1520 Oak Avenue Apt 4B,San Francisco,CA,94102,US,true,false,false
114-7723891-3345600,2026-02-12T08:30:00Z,2026-02-14T11:00:00Z,Shipped,MFN,Amazon.com,Standard,USD,62.98,2,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-02-12T10:00:00Z,2026-02-14T23:59:59Z,buyer3@email.com,Emily Rodriguez,Emily Rodriguez,3847 Maple Drive,Austin,TX,78701,US,false,false,false
114-9981234-5567800,2026-02-18T12:15:00Z,2026-02-22T16:00:00Z,Shipped,AFN,Amazon.com,Standard,USD,34.99,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-02-18T14:00:00Z,2026-02-20T23:59:59Z,buyer4@email.com,Michael Thompson,Michael Thompson,892 Pine Court,Seattle,WA,98101,US,true,false,false
114-2234567-8901200,2026-02-25T09:00:00Z,2026-03-01T10:30:00Z,Shipped,AFN,Amazon.com,Standard,USD,44.99,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-02-25T10:00:00Z,2026-02-27T23:59:59Z,buyer5@email.com,Lisa Park,Lisa Park,2104 Birch Lane,Denver,CO,80202,US,false,false,false
114-3345678-1234500,2026-03-02T14:30:00Z,2026-03-05T09:15:00Z,Shipped,MFN,Amazon.com,Standard,USD,29.99,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-03-02T16:00:00Z,2026-03-04T23:59:59Z,buyer6@email.com,David Kim,David Kim,567 Willow Way,Chicago,IL,60601,US,false,true,false
114-4456789-2345600,2026-03-08T11:20:00Z,2026-03-08T11:20:00Z,Canceled,AFN,Amazon.com,Standard,USD,39.99,0,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-03-08T12:00:00Z,2026-03-10T23:59:59Z,buyer7@email.com,Amanda Foster,Amanda Foster,1234 Cedar Blvd,Miami,FL,33101,US,true,false,false
114-5567890-3456700,2026-03-12T16:45:00Z,2026-03-15T10:00:00Z,Shipped,AFN,Amazon.com,Expedited,USD,94.98,2,0,Other,ATVPDKIKX0DER,Expedited,StandardOrder,2026-03-12T18:00:00Z,2026-03-13T23:59:59Z,buyer8@email.com,Robert Wilson,Robert Wilson,4567 Spruce St Apt 12,New York,NY,10001,US,true,false,false
114-6678901-4567800,2026-03-18T09:30:00Z,2026-03-22T14:00:00Z,Shipped,AFN,Amazon.com,Standard,USD,22.99,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-03-18T10:00:00Z,2026-03-20T23:59:59Z,buyer9@email.com,Jennifer Adams,Jennifer Adams,789 Ash Street,Boston,MA,02101,US,false,false,false
114-7789012-5678900,2026-03-22T13:00:00Z,2026-03-26T11:30:00Z,Shipped,MFN,Amazon.com,Standard,USD,44.99,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-03-22T14:00:00Z,2026-03-24T23:59:59Z,buyer10@email.com,Christopher Lee,Christopher Lee,321 Redwood Ave,Atlanta,GA,30301,US,false,false,false
114-8890123-6789000,2026-03-28T10:15:00Z,2026-03-31T09:00:00Z,Shipped,AFN,Amazon.com,Standard,USD,12.99,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-03-28T12:00:00Z,2026-03-30T23:59:59Z,buyer11@email.com,Megan Taylor,Megan Taylor,654 Magnolia Dr,Phoenix,AZ,85001,US,true,false,false
114-9901234-7890100,2026-04-01T08:45:00Z,2026-04-04T15:20:00Z,Shipped,AFN,Amazon.com,Standard,USD,32.99,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-04-01T10:00:00Z,2026-04-03T23:59:59Z,buyer12@email.com,Daniel Martinez,Daniel Martinez,987 Poplar Lane,Houston,TX,77001,US,true,false,false
114-1012345-8901200,2026-04-05T14:00:00Z,2026-04-08T10:00:00Z,Shipped,AFN,Amazon.com,Expedited,USD,49.99,1,0,Other,ATVPDKIKX0DER,Expedited,StandardOrder,2026-04-05T15:00:00Z,2026-04-06T23:59:59Z,buyer13@email.com,Rachel Brown,Rachel Brown,246 Sycamore Ct,Philadelphia,PA,19101,US,true,false,false
114-1123456-9012300,2026-04-10T11:30:00Z,2026-04-13T09:45:00Z,Shipped,MFN,Amazon.com,Standard,USD,27.99,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-04-10T12:00:00Z,2026-04-12T23:59:59Z,buyer14@email.com,Kevin Nguyen,Kevin Nguyen,135 Walnut St,San Diego,CA,92101,US,false,false,false
114-1234567-0123400,2026-04-15T09:00:00Z,2026-04-18T14:30:00Z,Shipped,AFN,Amazon.com,Standard,USD,57.98,2,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-04-15T10:00:00Z,2026-04-17T23:59:59Z,buyer15@email.com,Ashley Williams,Ashley Williams,864 Hickory Blvd,Minneapolis,MN,55401,US,true,false,false
114-1345678-1234500,2026-04-20T16:00:00Z,2026-04-23T10:00:00Z,Unshipped,MFN,Amazon.com,Standard,USD,18.99,0,1,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-04-20T18:00:00Z,2026-04-22T23:59:59Z,buyer16@email.com,Brian Jackson,Brian Jackson,753 Aspen Way,Dallas,TX,75201,US,false,false,false
114-1456789-2345600,2026-04-22T10:30:00Z,2026-04-22T10:30:00Z,Pending,AFN,Amazon.com,Standard,USD,16.99,0,1,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-04-22T12:00:00Z,2026-04-24T23:59:59Z,buyer17@email.com,Nicole Harris,Nicole Harris,159 Juniper Dr,Raleigh,NC,27601,US,true,false,false
114-1567890-3456700,2026-04-25T08:00:00Z,2026-04-28T12:00:00Z,Shipped,AFN,Amazon.com,Standard,USD,24.99,1,0,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-04-25T09:00:00Z,2026-04-27T23:59:59Z,buyer18@email.com,Tyler Scott,Tyler Scott,482 Chestnut Ave,Nashville,TN,37201,US,true,false,false
114-1678901-4567800,2026-04-28T14:15:00Z,2026-04-28T14:15:00Z,Unshipped,AFN,Amazon.com,Expedited,USD,79.98,0,2,Other,ATVPDKIKX0DER,Expedited,StandardOrder,2026-04-28T15:00:00Z,2026-04-29T23:59:59Z,buyer19@email.com,Samantha Clark,Samantha Clark,601 Birch Park Ln,Tampa,FL,33601,US,true,false,false
114-1789012-5678900,2026-04-30T09:45:00Z,2026-04-30T09:45:00Z,Pending,AFN,Amazon.com,Standard,USD,44.99,0,1,Other,ATVPDKIKX0DER,Standard,StandardOrder,2026-04-30T10:00:00Z,2026-05-02T23:59:59Z,buyer20@email.com,Andrew Davis,Andrew Davis,927 Linden St,Detroit,MI,48201,US,false,false,false
