weight_id,date,weight_lbs,notes
1,2025-03-30,195.2,Starting fresh - recommitting to tracking
2,2025-04-01,194.8,
3,2025-04-03,195.0,Water retention from salty dinner
4,2025-04-05,194.4,
5,2025-04-07,194.1,
6,2025-04-09,193.6,Good week of consistency
7,2025-04-11,193.8,Slight bounce after rest day
8,2025-04-13,193.2,
9,2025-04-15,193.0,
10,2025-04-17,192.6,Breaking through plateau
11,2025-04-19,192.8,Weekend splurge effect
12,2025-04-21,192.2,Back on track
13,2025-04-23,192.0,New low!
14,2025-04-25,191.8,
15,2025-04-28,192.0,Slight fluctuation but trend is good
